player_id,player_name,slug,season,minutes,goals_per90,assists_per90,shots_per90,key_passes_per90,tackles_per90,interceptions_per90,clearances_per90,passes_per90,pass_accuracy_pct,saves_per90,rating
261,Junior Hoilett,d-hoilett,2025-26,722,0.125,0.249,0.62,1.75,1.99,1,0.62,28.17,64.2,0,
268,Luka Modrić,l-modri,2025-26,2816,0.064,0.096,0.639,1.694,1.662,1.246,1.055,70.92,90.4,0,7.33
323,Jordan Henderson,j-henderson,2025-26,1921,0.047,0.141,0.281,0.89,1.265,0.796,1.687,54.253,77.9,0,6.7
580,Cristiano Ronaldo,c-ronaldo,2025-26,2275,0.949,0.079,5.82,0.95,0.12,0.12,0.28,20.57,85.2,0,7.55
807,Grant Hanley,g-hanley,2025-26,1709,0,0,0.79,0,0.79,1.16,7,52.24,89.3,0,6.83
871,Leandro Bacuna,leandro-bacuna,2025-26,1705,0.317,0.106,1.37,1.27,1.16,0.53,1.37,30.51,83,0,7.12
914,Chris Wood,c-wood,2025-26,907,0.298,0,2.282,0.496,0.099,0.099,0.893,15.976,69.6,0,6.81
929,Memphis Depay,m-depay,2025-26,561,0.481,0,1.93,0.8,0.16,0,0.32,24.39,77,0,6.99
937,Nabil Bentaleb,n-bentaleb,2025-26,1267,0.142,0.142,1.208,0.852,1.421,1.137,2.699,64.073,87,0,6.89
971,Riyad Mahrez,r-mahrez,2025-26,2054,0.175,0.307,1.31,3.11,1.05,0.35,0.35,33.61,84.6,0,7.38
997,Harry Kane,h-kane,2025-26,2379,1.362,0.189,4.502,1.513,0.719,0.303,1.248,27.503,81,0,7.87
1030,Idrissa Gueye,i-gueye,2025-26,2102,0.086,0.128,1.242,0.557,1.884,1.199,1.028,45.599,87.3,0,6.88
1038,Jordan Ayew,j-ayew,2025-26,2257,0.239,0.12,1.874,1.077,1.037,0.479,1.755,20.576,82.9,0,6.82
1078,Andrew Robertson,a-robertson,2025-26,1171,0.077,0,0.769,1.537,0.922,0.615,2.613,54.646,83.3,0,6.69
1109,Patrick Agyemang,p-agyemang,2025-26,2694,0.301,0.1,2.706,0.935,0.367,0.1,1.102,15.334,68.2,0,6.72
1139,Marko Arnautovic,m-arnautovi,2025-26,666,0.405,0.135,2.568,1.216,0.27,0.405,1.081,23.649,76.6,0,6.83
1193,N'Golo Kanté,n-kante,2025-26,1567,0.115,0.057,0.46,1.09,1.95,1.26,0.8,57.61,90,0,6.86
